Braidhi200r.CDG, , 
n, x, y, depth, velocity, channel index, DSI, VSI, CiSI, CbSI, WUA
1,516841.0029,3729572.0696,-0.3017,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,516833.2225,3729571.9969,-0.4301,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,516836.9670,3729572.0320,-0.3545,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,516845.4556,3729572.1112,-0.5584,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,516840.6130,3729574.2545,-0.3173,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,516845.4205,3729576.3050,-0.5944,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,516833.1499,3729574.3537,-0.4400,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,516829.4075,3729571.9615,-0.4996,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,516825.6324,3729571.9264,-0.5517,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,516836.7206,3729575.7387,-0.3885,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,516842.9279,3729576.5897,-0.4459,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,516839.6845,3729577.1613,-0.3455,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,516845.3880,3729580.2197,-0.6258,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,516833.1038,3729577.9068,-0.4248,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,516818.2337,3729571.8572,-0.6602,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,516829.3112,3729576.0387,-0.4837,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,516825.5331,3729574.4154,-0.5429,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,516821.8390,3729571.8910,-0.6063,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,516829.1563,3729580.0034,-0.4670,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,516836.8659,3729579.4915,-0.3693,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,516840.8468,3729580.0310,-0.3414,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,516845.3225,3729588.0474,-0.6288,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,516842.1042,3729582.9998,-0.3884,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,516845.3471,3729585.1214,-0.6605,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,516833.2482,3729581.9509,-0.4030,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,516828.9847,3729584.2639,-0.4469,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
27,516811.5928,3729571.7953,-0.7740,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28,516814.8491,3729571.8258,-0.7302,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29,516818.0251,3729574.2898,-0.6532,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
30,516825.2174,3729578.0795,-0.5307,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
31,516821.5186,3729576.0284,-0.5934,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
32,516824.8025,3729582.1342,-0.5160,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
33,516824.4018,3729586.5844,-0.4965,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
34,516845.3026,3729590.4480,-0.6021,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
35,516837.6031,3729583.6223,-0.4010,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
