Braidhi250r.CDG, , 
n, x, y, depth, velocity, channel index, DSI, VSI, CiSI, CbSI, WUA
1,516931.5201,3730245.7478,1.1903,0.1062,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,516929.4708,3730246.4445,0.4535,0.0394,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,516927.4995,3730247.1146,-0.1424,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,516933.5487,3730245.0583,1.4629,0.2429,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,516932.2621,3730244.1254,1.2688,0.1968,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,516930.0556,3730243.7425,0.9578,0.0652,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,516927.1457,3730244.5361,-0.0540,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,516926.0577,3730246.0142,-0.2352,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,516925.3132,3730247.8578,-0.1948,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,516941.5068,3730242.3530,0.4175,0.0263,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,516933.9862,3730243.4932,1.4872,0.2105,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,516935.5011,3730244.3945,1.2893,0.1901,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,516932.6860,3730242.4019,1.2989,0.2164,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,516927.8447,3730241.9208,0.4656,0.0170,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,516930.5179,3730241.3256,0.9836,0.1348,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,516939.4750,3730243.0438,0.6330,0.0540,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,516937.4613,3730243.7282,0.9380,0.1344,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,516925.3348,3730240.0364,-0.1187,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,516925.0908,3730242.5466,-0.3700,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,516923.7777,3730245.0801,-0.3197,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,516922.6356,3730248.7679,-0.2326,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,516919.1827,3730249.9416,-0.2770,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,516915.5291,3730251.1837,-0.3226,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,516940.0645,3730241.0897,0.5146,0.0168,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,516941.8105,3730240.4715,0.3281,0.0358,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,516943.6353,3730241.6296,0.1413,0.0036,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
27,516935.2044,3730241.8442,1.1990,0.2280,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28,516933.2115,3730240.3272,1.3377,0.2177,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29,516928.4469,3730239.5804,0.6751,0.0730,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
30,516931.1301,3730239.2634,1.0330,0.1772,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
31,516937.8294,3730240.6625,0.7132,0.0807,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
32,516926.6479,3730237.3544,0.3865,0.0159,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
33,516923.1102,3730237.6567,-0.5560,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
34,516921.4872,3730241.4154,-0.4892,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
35,516919.8550,3730245.6426,-0.3956,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
36,516911.6553,3730252.5005,-0.3690,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
37,516915.9671,3730247.2183,-0.4360,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
38,516912.6946,3730249.2530,-0.4466,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39,516885.0211,3730261.5545,0.2198,0.1202,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
