Braidhi10r.CDG, , 
n, x, y, depth, velocity, channel index, DSI, VSI, CiSI, CbSI, WUA
1,516825.5700,3729571.9256,-0.7062,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,516840.9584,3729572.0692,-0.4565,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,516833.1461,3729571.9964,-0.5856,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,516829.3339,3729571.9607,-0.6535,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,516818.2208,3729571.8571,-0.8134,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,516825.4708,3729574.4683,-0.6969,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,516821.7997,3729571.8905,-0.7601,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,516836.8979,3729572.0314,-0.5098,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,516845.4555,3729572.1111,-0.7123,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,516840.5609,3729574.2977,-0.4723,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,516845.4200,3729576.3650,-0.7482,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,516833.0723,3729574.4013,-0.5943,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,516829.2381,3729576.1182,-0.6374,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,516811.6201,3729571.7955,-0.9293,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,516814.8591,3729571.8258,-0.8832,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,516818.0122,3729574.3371,-0.8066,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,516825.1586,3729578.1897,-0.6842,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,516821.4777,3729576.1067,-0.7466,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,516836.6403,3729575.8079,-0.5431,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,516842.8823,3729576.6583,-0.5975,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,516839.6126,3729577.2496,-0.4997,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,516845.3873,3729580.3081,-0.7801,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,516833.0230,3729578.0092,-0.5794,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,516829.0880,3729580.1301,-0.6202,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,516824.7512,3729582.2734,-0.6692,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,516808.4169,3729571.7656,-0.8956,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
27,516811.6026,3729573.8730,-0.9228,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28,516814.4790,3729575.5879,-0.9754,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29,516817.3035,3729577.9795,-0.8005,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
30,516820.7147,3729580.1624,-0.7378,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
31,516820.0824,3729584.3595,-0.7238,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
32,516805.2762,3729571.7362,-1.0446,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
33,516836.7777,3729579.6023,-0.5232,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
34,516840.7755,3729580.1289,-0.4965,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
35,516845.3218,3729588.1255,-0.7816,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
36,516842.0575,3729583.1061,-0.5374,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
37,516845.3462,3729585.2111,-0.8137,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
38,516833.1660,3729582.0818,-0.5568,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39,516828.9191,3729584.4079,-0.6005,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
40,516824.3489,3729586.7288,-0.6491,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
41,516819.6728,3729589.0163,-0.7863,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
42,516805.3414,3729574.1033,-1.0773,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
43,516808.4180,3729575.5073,-0.8638,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
44,516811.3571,3729576.7043,-0.8960,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
45,516813.1861,3729579.3358,-1.0140,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
46,516816.0495,3729581.9798,-0.9565,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
47,516815.1715,3729586.3487,-1.0894,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
48,516814.9312,3729591.4319,-1.0775,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
49,516802.1068,3729571.7066,-1.0194,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
50,516845.3019,3729590.5281,-0.7547,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
51,516837.5123,3729583.7381,-0.5564,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
52,516843.0943,3729588.5979,-0.5760,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
53,516840.8203,3729586.4710,-0.5207,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
54,516833.0373,3729586.4405,-0.4811,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
55,516828.7055,3729589.0082,-0.5517,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
56,516824.0836,3729591.5239,-0.6219,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
57,516814.7410,3729596.7146,-1.1290,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
58,516819.3986,3729593.9787,-0.8773,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
59,516802.4316,3729575.6160,-1.0749,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
60,516805.3857,3729577.6491,-0.9724,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
61,516809.0061,3729579.2170,-0.8259,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
62,516810.7314,3729583.4160,-0.8236,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
63,516810.1837,3729588.6734,-0.7565,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
64,516809.9295,3729594.0528,-0.7098,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
65,516809.8928,3729599.4359,-0.6561,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
66,516788.3530,3729571.5784,-0.9417,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
67,516799.5490,3729574.0893,-1.0351,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
68,516797.8369,3729571.6670,-1.0572,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
69,516786.2841,3729571.5590,-0.7272,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
70,516784.1789,3729571.5395,-0.7080,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
71,516783.3095,3729572.4750,-0.7417,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
72,516782.1391,3729571.5205,-0.7018,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
73,516780.1710,3729571.5021,-0.6524,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
74,516842.9424,3729591.8247,-0.5280,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
75,516845.2751,3729593.7565,-0.7180,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
76,516836.7627,3729588.5552,-0.5827,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
77,516840.1509,3729590.6697,-0.5418,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
78,516845.2479,3729597.0044,-0.7522,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
79,516832.7245,3729591.2376,-0.6102,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
80,516828.4143,3729593.9225,-0.5186,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
