Braidhi59r.CDG, , 
n, x, y, depth, velocity, channel index, DSI, VSI, CiSI, CbSI, WUA
1,516941.4875,3730242.3596,0.2751,0.0202,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,516941.8041,3730240.5020,0.1849,0.0169,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,516943.6017,3730241.6410,-0.0013,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,516940.0506,3730241.1276,0.3719,0.0291,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,516939.4549,3730243.0505,0.4901,0.0415,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,516937.4841,3730243.7205,0.7870,0.0303,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,516935.6052,3730244.3594,1.1260,0.0648,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,516945.9973,3730240.8268,-0.3308,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,516940.2039,3730238.9931,0.2890,0.0219,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,516943.2436,3730238.6731,-0.0292,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,516937.8282,3730240.6644,0.5685,0.0227,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,516937.8556,3730237.5027,0.4650,0.0517,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,516935.2618,3730241.8412,1.0447,0.0818,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,516934.2069,3730243.4817,1.3050,0.0779,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,516933.5828,3730245.0468,1.3195,0.0854,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,516949.2946,3730239.7057,-0.7898,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,516946.3402,3730237.7540,-0.4555,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,516940.7368,3730236.3532,0.1524,0.0043,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,516943.7033,3730235.6959,-0.1567,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,516935.4815,3730238.9910,0.8536,0.0901,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,516938.0444,3730234.3882,0.3468,0.0591,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,516935.2548,3730235.9000,0.7217,0.0945,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,516933.2551,3730240.4038,1.1981,0.0646,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,516932.7847,3730242.5985,1.1695,0.0704,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,516932.1246,3730244.2471,1.1060,0.0649,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,516931.4888,3730245.7585,1.0338,0.0355,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
27,516953.4984,3730238.2766,-1.3705,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
