Braidhi400r.CDG, , 
n, x, y, depth, velocity, channel index, DSI, VSI, CiSI, CbSI, WUA
1,516884.7422,3730260.0227,0.2101,0.0541,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,516885.5583,3730260.8297,0.1442,0.1882,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,516886.8678,3730260.9268,0.0234,0.0491,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,516886.2995,3730259.8442,0.0263,0.0602,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,516887.6979,3730259.9109,-0.1071,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,516888.9373,3730260.2232,-0.2206,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,516885.4573,3730258.7748,0.0855,0.0411,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,516886.1898,3730257.5438,-0.0536,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,516883.7346,3730259.1816,0.2954,0.1259,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,516883.2557,3730260.6999,0.4097,0.2389,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,516884.2371,3730261.2788,0.3158,0.1051,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,516885.0648,3730261.5398,0.2083,0.0546,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,516890.9857,3730259.5270,-0.4519,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,516887.2885,3730258.5830,-0.1182,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,516890.1707,3730258.5886,-0.4048,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,516886.9399,3730256.3299,-0.1635,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,516884.3412,3730257.7188,0.1668,0.0477,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,516885.4394,3730256.3580,-0.0117,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,516882.8510,3730257.1346,0.3154,0.3217,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,516882.6517,3730258.4356,0.3906,0.3528,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,516882.1203,3730259.8032,0.5080,0.4314,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,516881.7029,3730261.1924,0.6086,0.4925,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,516930.0968,3730243.7619,1.0112,0.1324,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,516932.1246,3730244.2472,1.2959,0.2927,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,516931.2368,3730244.5891,1.1805,0.2019,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,516930.3827,3730245.3113,0.9256,0.0984,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
27,516928.9836,3730244.8956,0.5281,0.0571,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28,516928.1805,3730245.9920,0.1462,0.0226,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29,516929.5625,3730246.4133,0.5361,0.0816,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
30,516928.4598,3730243.4056,0.5325,0.0211,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
31,516905.0965,3730254.7300,-0.4116,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
32,516878.0805,3730162.5086,0.9986,0.0039,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
33,516901.5235,3730255.9447,-0.4533,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
34,516897.6993,3730257.2448,-0.4976,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
