BraidHi2000r.CDG, , 
n, x, y, depth, velocity, channel index, DSI, VSI, CiSI, CbSI, WUA
1,516818.2215,3729571.8570,-0.1601,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,516811.4659,3729571.7940,-0.2322,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,516814.7748,3729571.8249,-0.2193,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,516818.0172,3729574.1945,-0.1525,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,516821.9202,3729571.8917,-0.1231,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,516825.7789,3729571.9276,-0.0856,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,516841.0911,3729572.0704,0.0499,0.0763,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,516808.2795,3729571.7644,-0.2017,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,516811.4300,3729573.7951,-0.2239,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,516814.5015,3729575.4334,-0.3005,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,516833.3347,3729571.9981,-0.0059,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,516817.3749,3729577.6971,-0.1443,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,516829.5351,3729571.9627,-0.0524,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,516821.6276,3729575.8947,-0.1087,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,516825.7184,3729574.3267,-0.0770,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,516837.0737,3729572.0330,0.0264,0.0804,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,516845.4556,3729572.1111,-0.1521,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,516840.7348,3729574.1642,0.0910,0.0396,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,516805.1341,3729571.7349,-0.3215,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,516805.2031,3729573.9824,-0.3552,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,516808.3614,3729575.3587,-0.1630,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,516811.2779,3729576.5370,-0.2051,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,516813.1980,3729579.0948,-0.3408,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,516833.2476,3729574.2871,-0.0091,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,516816.1415,3729581.7221,-0.2857,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,516820.9418,3729579.8355,-0.0979,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
27,516829.3547,3729575.9209,-0.0374,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28,516825.4068,3729577.9088,-0.0635,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29,516845.4213,3729576.2112,-0.1734,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
