Braidhi1000r.CDG, , 
n, x, y, depth, velocity, channel index, DSI, VSI, CiSI, CbSI, WUA
1,516941.4874,3730242.3596,0.6825,0.2133,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,516935.6052,3730244.3592,1.5371,0.5027,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,516939.4549,3730243.0506,0.8987,0.3005,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,516937.4842,3730243.7205,1.1980,0.3933,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,516934.2069,3730243.4816,1.7198,0.5271,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,516933.5828,3730245.0468,1.7379,0.5582,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,516940.0506,3730241.1276,0.7802,0.2472,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,516941.8040,3730240.5021,0.5915,0.1471,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,516943.6016,3730241.6410,0.4087,0.0702,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,516935.2618,3730241.8413,1.4564,0.5092,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,516937.8281,3730240.6644,0.9768,0.3389,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,516933.2550,3730240.4039,1.6111,0.5720,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,516932.7846,3730242.5985,1.5822,0.5928,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,516932.1245,3730244.2472,1.5207,0.5640,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,516931.4888,3730245.7585,1.4486,0.4647,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,516945.9972,3730240.8267,0.0758,0.0145,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,516940.2039,3730238.9932,0.6977,0.1981,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,516943.2436,3730238.6731,0.3786,0.0710,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,516935.4815,3730238.9909,1.2633,0.5027,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,516937.8556,3730237.5027,0.8722,0.3226,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,516933.1036,3730237.7733,1.5445,0.5632,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,516931.2280,3730239.3507,1.3144,0.5273,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,516930.6300,3730241.3874,1.2680,0.4699,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,516930.0968,3730243.7618,1.2372,0.3741,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,516929.5626,3730246.4133,0.7520,0.1604,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,516927.6875,3730247.0508,0.1036,0.2906,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
27,516949.2945,3730239.7059,-0.3670,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28,516946.3401,3730237.7539,-0.0339,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29,516940.7370,3730236.3530,0.5590,0.1792,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
30,516943.7033,3730235.6961,0.2397,0.0169,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
31,516935.2547,3730235.9000,1.1305,0.5324,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
32,516932.3813,3730234.9030,1.3999,0.5737,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
33,516938.0443,3730234.3882,0.7534,0.3801,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
34,516930.2313,3730237.3587,1.1445,0.5395,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
35,516928.8872,3730234.8594,0.9149,0.5709,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
36,516930.9762,3730231.8955,1.1499,0.6670,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
37,516928.6163,3730239.6768,0.9680,0.3775,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
38,516927.9912,3730241.9429,0.7816,0.2909,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39,516927.2915,3730244.5119,0.2561,0.1236,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
40,516926.2946,3730245.9712,0.0417,0.0663,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
41,516925.5358,3730247.7821,0.0990,0.0487,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
42,516953.4984,3730238.2767,-0.9455,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
43,516949.4536,3730236.0913,-0.4860,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
