Braidhi25r.CDG, , 
n, x, y, depth, velocity, channel index, DSI, VSI, CiSI, CbSI, WUA
50,516788.2834,3729571.5780,-0.9021,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
51,516799.4923,3729574.0530,-1.0196,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
52,516797.7675,3729571.6663,-1.0467,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
53,516786.2250,3729571.5587,-0.6841,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
54,516784.1397,3729571.5391,-0.6688,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
55,516802.3895,3729575.5663,-1.0635,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
56,516805.3636,3729577.5942,-0.9685,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
57,516808.9953,3729579.1506,-0.8213,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
58,516810.7365,3729583.3360,-0.8191,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
59,516810.1942,3729588.5881,-0.7528,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
60,516809.9407,3729593.9611,-0.7092,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
61,516783.2722,3729572.4615,-0.6966,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
62,516782.1284,3729571.5204,-0.6555,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
63,516780.1880,3729571.5024,-0.6010,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
64,516845.3026,3729590.4671,-0.7549,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
65,516837.5788,3729583.6518,-0.5547,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
66,516843.1208,3729588.5380,-0.5772,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
67,516840.8660,3729586.3973,-0.5190,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
68,516833.0993,3729586.3440,-0.4812,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
69,516828.7593,3729588.9082,-0.5517,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
70,516809.8992,3729599.3707,-0.6508,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
71,516814.7683,3729596.6269,-1.1252,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
72,516819.4413,3729593.8863,-0.8704,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
73,516824.1263,3729591.4284,-0.6206,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
74,516799.4762,3729576.7076,-1.0547,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
75,516788.1839,3729572.6959,-0.8867,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
76,516790.6299,3729571.5998,-0.9561,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
77,516794.1151,3729571.6321,-1.0051,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
78,516796.2406,3729575.3054,-1.1088,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
79,516786.6029,3729573.8464,-0.7138,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
80,516784.5432,3729573.3690,-0.6534,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
81,516801.9411,3729579.2819,-1.1075,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
82,516805.3622,3729581.5978,-0.8159,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
83,516805.3833,3729586.1340,-0.7672,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
84,516805.1989,3729591.2039,-0.7094,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
85,516805.4671,3729601.9355,-1.0312,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
86,516805.4144,3729596.5674,-0.7582,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
87,516782.4274,3729573.4209,-0.6818,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
88,516780.9931,3729572.8528,-0.6370,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
89,516778.3888,3729571.4855,-0.5535,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
90,516776.6833,3729571.4698,-0.5093,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
91,516779.3735,3729573.2503,-0.5968,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
92,516842.9677,3729591.7561,-0.5303,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
93,516845.2756,3729593.6816,-0.7183,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
94,516836.8280,3729588.4688,-0.5809,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
95,516840.2050,3729590.5946,-0.5400,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
96,516845.2486,3729596.9122,-0.7505,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
97,516832.7838,3729591.1453,-0.6083,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
98,516828.4748,3729593.8282,-0.5196,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
99,516805.4548,3729607.0814,-0.9944,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100,516809.9991,3729604.6348,-0.7407,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
101,516814.4252,3729601.9949,-1.2095,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
102,516819.1306,3729599.1922,-0.9801,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
103,516824.0487,3729596.4253,-0.5896,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
104,516797.8923,3729579.3761,-1.0757,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
105,516789.1340,3729574.5750,-0.9789,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
106,516792.0986,3729575.5690,-1.0550,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
107,516794.5546,3729578.4279,-1.1432,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
108,516787.1588,3729575.8973,-0.7611,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
109,516785.1882,3729575.5128,-0.6234,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
110,516783.1405,3729575.0764,-0.7170,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
111,516800.8197,3729609.5960,-1.0545,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
112,516800.3173,3729583.4772,-1.1425,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
113,516800.6877,3729604.3786,-0.9150,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
114,516800.5934,3729588.7327,-0.9934,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
115,516800.6088,3729593.7896,-0.7982,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
116,516800.5698,3729599.1664,-0.8783,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
117,516780.8749,3729574.8063,-0.6510,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
118,516774.7185,3729571.4513,-0.4614,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
119,516775.8540,3729572.5062,-0.4996,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
120,516777.2234,3729573.3920,-0.5418,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
121,516778.5882,3729575.1793,-0.5923,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
122,516795.1395,3729618.2881,-1.1260,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
123,516800.4996,3729615.3224,-1.0605,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
124,516845.2244,3729599.8274,-0.7838,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
125,516841.3520,3729595.1252,-0.5292,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
126,516836.8997,3729593.4965,-0.5942,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
127,516842.2889,3729599.4949,-0.5242,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
128,516832.8173,3729596.3349,-0.6452,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
129,516805.6716,3729612.2689,-0.9049,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
130,516828.3106,3729599.0743,-0.5204,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
131,516810.1249,3729609.8382,-0.8181,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
132,516814.2648,3729607.1587,-1.1856,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
133,516819.0155,3729604.5692,-1.0652,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
134,516823.9560,3729601.9500,-0.6099,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
135,516795.2671,3729582.1697,-1.2201,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
136,516788.9453,3729577.7273,-0.9408,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
137,516791.3531,3729580.0261,-1.1259,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
138,516781.9254,3729576.6003,-0.6951,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
139,516786.0383,3729578.1096,-0.6282,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
140,516783.7356,3729577.3268,-0.7122,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
141,516795.3659,3729612.7057,-1.1799,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
142,516795.4835,3729607.1682,-1.2945,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
143,516795.6308,3729586.4702,-1.2748,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
144,516795.6767,3729601.6410,-1.2891,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
145,516795.5943,3729591.3434,-1.2833,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
146,516795.6120,3729596.3946,-1.2983,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
147,516773.5697,3729572.5326,-0.4453,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
148,516772.6998,3729571.4326,-0.4154,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
149,516780.0099,3729577.0851,-0.6456,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
150,516777.7582,3729577.2633,-0.5871,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
151,516774.7419,3729573.6682,-0.4829,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
152,516776.1781,3729575.4655,-0.5336,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
153,516768.9909,3729571.3980,-0.3411,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
154,516770.8397,3729571.4152,-0.3761,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
155,516790.6042,3729615.6440,-0.8265,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
156,516790.6923,3729620.9403,-0.6234,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
157,516790.6151,3729626.7035,-0.6030,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
158,516795.1156,3729623.8410,-0.9760,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
159,516800.3051,3729621.0235,-0.9632,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
160,516805.5583,3729617.9822,-0.9875,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
161,516845.1945,3729603.3960,-0.9050,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
162,516837.5511,3729599.0351,-0.5648,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
