Braidhi125r.CDG, , 
n, x, y, depth, velocity, channel index, DSI, VSI, CiSI, CbSI, WUA
1,516931.5134,3730245.7501,1.1129,0.0554,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,516933.5609,3730245.0543,1.3869,0.1302,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,516932.2522,3730244.1592,1.1917,0.1014,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,516930.0760,3730243.7533,0.8863,0.0324,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,516929.5050,3730246.4330,0.3930,0.0205,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,516927.5697,3730247.0908,-0.2334,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,516941.4981,3730242.3560,0.3435,0.0251,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,516934.0361,3730243.5045,1.4040,0.1145,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,516935.5380,3730244.3820,1.2081,0.0997,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,516932.7188,3730242.4563,1.2280,0.1129,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,516930.5661,3730241.3538,0.9151,0.0705,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,516939.4700,3730243.0455,0.5581,0.0398,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,516937.4741,3730243.7238,0.8589,0.0677,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,516927.9046,3730241.9293,0.4077,0.0041,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,516927.2004,3730244.5269,-0.1124,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,516926.1463,3730245.9935,-0.3178,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,516925.3984,3730247.8289,-0.2795,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,516940.0592,3730241.1003,0.4404,0.0162,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,516941.8031,3730240.4815,0.2540,0.0283,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,516943.6189,3730241.6349,0.0685,0.0006,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,516935.2295,3730241.8480,1.1206,0.1260,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,516933.2320,3730240.3624,1.2642,0.1115,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,516928.5129,3730239.6195,0.6074,0.0340,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,516931.1701,3730239.3035,0.9639,0.0880,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,516937.8314,3730240.6653,0.6381,0.0427,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,516926.7325,3730237.4170,0.3233,0.0065,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
27,516925.4068,3730240.0540,-0.1735,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28,516925.1611,3730242.5407,-0.4496,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29,516923.8701,3730245.0606,-0.4024,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
30,516922.7111,3730248.7424,-0.3177,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
31,516919.2384,3730249.9229,-0.3658,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
32,516915.5668,3730251.1710,-0.4131,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
33,516946.0581,3730240.8059,-0.2663,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
