BraidHi2500r.CDG, , 
n, x, y, depth, velocity, channel index, DSI, VSI, CiSI, CbSI, WUA
1,516818.2214,3729571.8570,-0.0655,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,516811.4660,3729571.7941,-0.1047,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,516814.7748,3729571.8249,-0.1060,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,516818.0172,3729574.1944,-0.0571,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,516821.9204,3729571.8916,-0.0504,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,516825.7789,3729571.9276,-0.0368,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,516841.0911,3729572.0703,0.0697,0.0959,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,516808.2796,3729571.7643,-0.0638,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,516811.4300,3729573.7950,-0.0963,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,516814.5016,3729575.4334,-0.1868,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,516833.3347,3729571.9981,0.0092,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,516817.3749,3729577.6971,-0.0474,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,516829.5351,3729571.9627,-0.0243,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,516821.6275,3729575.8947,-0.0363,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,516825.7185,3729574.3268,-0.0289,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,516837.0737,3729572.0330,0.0492,0.1807,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,516845.4555,3729572.1111,-0.1470,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,516840.7347,3729574.1642,0.1067,0.0532,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,516805.1340,3729571.7351,-0.1775,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,516805.2031,3729573.9823,-0.2112,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,516808.3613,3729575.3586,-0.0257,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,516811.2781,3729576.5370,-0.0776,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,516813.1980,3729579.0950,-0.2224,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,516833.2476,3729574.2870,-0.0040,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,516816.1415,3729581.7221,-0.1853,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,516820.9417,3729579.8354,-0.0259,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
27,516829.3547,3729575.9209,-0.0118,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28,516825.4068,3729577.9088,-0.0182,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29,516845.4213,3729576.2113,-0.1597,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
30,516836.8382,3729575.6234,0.0573,0.1156,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
31,516843.0603,3729576.4809,-0.0148,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
32,516839.8365,3729577.0209,0.0931,0.1370,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
