Braidhi750r.CDG, , 
n, x, y, depth, velocity, channel index, DSI, VSI, CiSI, CbSI, WUA
1,516841.0030,3729572.0696,-0.0355,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,516833.2224,3729571.9969,-0.1653,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,516836.9670,3729572.0320,-0.0895,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,516845.4556,3729572.1112,-0.2921,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,516840.6130,3729574.2545,-0.0514,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,516845.4205,3729576.3051,-0.3279,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,516833.1499,3729574.3538,-0.1749,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,516829.4075,3729571.9615,-0.2365,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,516825.6324,3729571.9263,-0.2897,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,516836.7207,3729575.7388,-0.1227,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,516842.9279,3729576.5895,-0.1792,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,516839.6845,3729577.1612,-0.0796,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,516845.3881,3729580.2197,-0.3582,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,516833.1038,3729577.9068,-0.1597,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,516818.2337,3729571.8573,-0.4016,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,516829.3111,3729576.0386,-0.2203,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,516825.5332,3729574.4152,-0.2804,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,516821.8390,3729571.8910,-0.3465,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,516829.1564,3729580.0034,-0.2027,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,516836.8660,3729579.4914,-0.1033,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,516840.8467,3729580.0310,-0.0749,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,516845.3226,3729588.0476,-0.3594,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
