Braidhi33r.CDG, , 
n, x, y, depth, velocity, channel index, DSI, VSI, CiSI, CbSI, WUA
1,516941.4874,3730242.3596,0.2233,0.0074,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2,516941.8041,3730240.5021,0.1330,0.0063,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3,516943.6018,3730241.6411,-0.0530,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4,516940.0507,3730241.1275,0.3199,0.0185,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5,516939.4548,3730243.0505,0.4387,0.0239,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6,516937.4841,3730243.7205,0.7360,0.0155,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
7,516935.6052,3730244.3594,1.0748,0.0374,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8,516945.9972,3730240.8268,-0.3751,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9,516940.2038,3730238.9931,0.2369,0.0084,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
10,516943.2436,3730238.6730,-0.0799,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
11,516937.8282,3730240.6643,0.5168,0.0193,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
12,516937.8557,3730237.5028,0.4132,0.0348,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
13,516935.2617,3730241.8411,0.9931,0.0496,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
14,516934.2070,3730243.4815,1.2531,0.0445,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
15,516933.5828,3730245.0467,1.2674,0.0500,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
16,516949.2946,3730239.7058,-0.8218,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
17,516946.3402,3730237.7540,-0.4955,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
18,516940.7369,3730236.3530,0.1013,0.0055,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
19,516943.7033,3730235.6960,-0.2067,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
20,516935.4816,3730238.9908,0.8020,0.0559,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
21,516938.0444,3730234.3882,0.2947,0.0350,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
22,516935.2548,3730235.8999,0.6699,0.0590,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
23,516933.2550,3730240.4037,1.1461,0.0363,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
24,516932.7846,3730242.5986,1.1180,0.0385,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
25,516932.1245,3730244.2471,1.0540,0.0368,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
26,516931.4887,3730245.7585,0.9821,0.0214,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
27,516953.4985,3730238.2767,-1.3885,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
28,516949.4535,3730236.0913,-0.9350,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
29,516946.4799,3730234.8777,-0.5865,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
30,516941.4601,3730233.2957,-0.0619,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
31,516944.5174,3730232.9111,-0.3890,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
32,516938.8926,3730231.3027,0.1154,0.0022,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
33,516957.2386,3730237.0052,-1.2518,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
34,516933.1035,3730237.7735,1.0818,0.0321,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
35,516932.3814,3730234.9029,0.9372,0.0297,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
36,516934.8153,3730232.1956,0.5389,0.0653,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
37,516931.2281,3730239.3508,0.8508,0.0280,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
38,516930.6299,3730241.3874,0.8028,0.0252,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
39,516930.0967,3730243.7619,0.7693,0.0164,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
40,516929.5626,3730246.4135,0.2941,0.0122,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
41,516927.6875,3730247.0507,-0.3489,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
42,516956.3939,3730234.6821,-1.2332,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
43,516952.2135,3730233.7208,-1.3401,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
44,516955.1996,3730231.6111,-1.2100,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
45,516947.9932,3730231.6955,-0.8596,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
46,516943.0310,3730229.5220,-0.3396,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
47,516937.4030,3730227.5809,0.1376,0.0031,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
48,516961.0321,3730235.7157,-1.1152,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
49,516964.9152,3730234.3956,-0.9748,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
50,516930.2314,3730237.3587,0.6820,0.0254,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
51,516928.8871,3730234.8594,0.4574,0.0385,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
52,516930.9762,3730231.8956,0.6943,0.0507,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
53,516932.6801,3730228.9745,0.7084,0.0780,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
54,516932.4429,3730224.7293,0.5181,0.1120,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
55,516928.6164,3730239.6769,0.4995,0.0109,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
56,516927.9913,3730241.9431,0.3104,0.0049,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
57,516927.2914,3730244.5119,-0.2047,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
58,516926.2946,3730245.9712,-0.4388,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
59,516925.5358,3730247.7822,-0.4029,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
60,516959.3061,3730231.8063,-1.0924,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
61,516956.4851,3730228.3495,-1.1083,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
62,516951.7139,3730229.3153,-1.2668,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
63,516947.7055,3730226.9077,-0.9354,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
64,516942.5347,3730224.7291,-0.4036,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
65,516937.3525,3730222.0688,-0.0389,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
66,516932.4418,3730219.6411,0.4254,0.1254,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
67,516972.8150,3730231.7103,-0.6849,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
68,516963.8837,3730231.8271,-0.9583,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
69,516968.8498,3730233.0582,-0.8311,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
70,516976.7725,3730230.3650,-0.5438,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
71,516981.0103,3730228.9244,-1.1449,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
72,516926.8793,3730237.5167,0.2249,0.0082,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
73,516925.1155,3730234.6765,-0.0597,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
74,516927.2097,3730231.9026,0.1796,0.0036,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
75,516928.2220,3730227.6728,0.2495,0.0068,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
76,516928.0798,3730222.2498,0.1345,0.0186,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
77,516927.9010,3730216.7754,0.3062,0.0454,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
78,516925.5298,3730240.0781,-0.2567,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
79,516925.2733,3730242.5267,-0.5656,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
80,516924.0230,3730245.0282,-0.5249,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
81,516922.8232,3730248.7043,-0.4468,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
82,516919.3099,3730249.8987,-0.5022,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
83,516915.6090,3730251.1568,-0.5594,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
84,516900.3860,3730147.7734,-0.3735,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
85,516898.6548,3730144.9346,-0.3967,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
86,516961.6946,3730228.3811,-0.9576,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
87,516958.7225,3730224.9311,-0.9770,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
88,516952.4834,3730224.5721,-1.1460,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
89,516947.4655,3730222.0636,-1.0055,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
90,516942.2172,3730219.4142,-0.4677,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
91,516937.2602,3730217.0124,0.0945,0.0195,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
92,516932.2491,3730214.1607,0.3345,0.1233,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
93,516927.5941,3730211.2329,0.4846,0.0903,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
94,516971.6957,3730228.6902,-0.6658,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
95,516966.9264,3730228.4700,-0.8060,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
96,516975.0446,3730225.6619,-0.5081,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
97,516979.8297,3730226.2606,-1.0618,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
98,516985.5656,3730227.3760,-1.7444,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
99,516978.0853,3730222.8909,-0.9127,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
100,516989.5404,3730223.9643,-2.2890,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
101,516990.2355,3730225.7885,-2.3408,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
102,516895.4717,3730144.8854,-0.6380,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
103,516897.1296,3730147.7052,-0.5679,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
104,516886.8193,3730139.2056,-0.5834,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
105,516902.1691,3730150.6710,-0.2092,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
106,516898.8077,3730150.5472,-0.4265,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
107,516903.8976,3730153.6707,-0.0135,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
108,516923.3525,3730237.7748,-0.6822,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
109,516921.7376,3730234.5896,-0.8720,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
110,516922.8717,3730230.4506,-0.4532,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
111,516923.0084,3730224.9449,-0.5037,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
112,516922.9153,3730208.3076,0.1435,0.0169,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
113,516922.8571,3730213.9471,-0.0819,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
114,516922.9387,3730219.5256,-0.2961,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
115,516921.7584,3730241.3543,-0.6930,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
116,516920.0426,3730245.5913,-0.6124,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
117,516911.7218,3730252.4779,-0.6188,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
118,516916.0944,3730247.2242,-0.6660,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
119,516912.7895,3730249.2787,-0.6879,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
120,516885.0646,3730261.5396,-0.0849,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
121,516908.1600,3730253.6888,-0.6718,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
122,516905.0966,3730254.7302,-0.7166,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
123,516888.9373,3730260.2233,-0.5676,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
124,516886.8679,3730260.9267,-0.3341,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
125,516890.9857,3730259.5269,-0.7941,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
126,516897.0622,3730142.2607,-0.4042,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
127,516894.0554,3730142.3158,-0.8380,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
128,516890.9609,3730142.2051,-0.7335,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
129,516889.5105,3730139.3304,-0.8325,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
130,516887.9334,3730136.4241,-0.7874,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
131,516886.5468,3730134.3212,-0.6973,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
132,516905.5689,3730150.7418,-0.1769,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
133,516903.8233,3730147.7958,-0.3563,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
134,516902.0639,3730144.9362,-0.5288,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
135,516900.4162,3730142.2262,-0.5013,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
136,516964.3204,3730224.8307,-0.8150,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
137,516961.4553,3730221.9103,-0.8425,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
138,516956.8073,3730220.8207,-0.9523,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
139,516951.7126,3730219.1187,-1.0541,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
140,516946.9515,3730216.5691,-1.0624,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
141,516942.1630,3730214.0172,-0.0820,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
142,516937.1695,3730211.3438,-0.0583,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
143,516932.2446,3730208.4280,0.1237,0.0176,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
144,516927.3417,3730205.5630,0.3929,0.1468,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
145,516922.9437,3730202.6951,0.2976,0.0953,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
146,516907.2402,3730153.7152,-0.0201,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
147,516969.8827,3730223.9734,-0.6359,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
148,516974.3407,3730220.9983,-0.4793,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
149,516986.5513,3730221.7528,-1.9650,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
150,516982.3576,3730222.4119,-1.4427,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
151,516978.9770,3730218.8181,-1.0961,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
152,516990.8463,3730221.0512,-2.4996,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
153,516995.0190,3730224.1626,-2.9493,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
154,516892.5620,3730144.9009,-0.7725,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
155,516893.9710,3730147.6361,-0.6853,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
156,516895.5135,3730150.5250,-0.5922,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
157,516889.4395,3730144.8796,-0.5849,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
158,516884.9267,3730133.4079,-0.1513,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
159,516885.2022,3730135.3023,-0.4359,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
160,516885.2775,3730137.2863,-0.3936,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
161,516887.7207,3730142.1491,-0.6320,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
162,516884.6375,3730139.0615,-0.2511,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
163,516885.0969,3730140.9296,-0.2696,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
164,516900.5699,3730153.5574,-0.1882,0.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000
