"","date","discharge"
"187",1995-01-01,4.86396
"188",1995-01-02,4.75776
"189",1995-01-03,4.71528
"190",1995-01-04,4.779
"191",1995-01-05,6.30828
"192",1995-01-06,13.275
"193",1995-01-07,10.13148
"194",1995-01-08,9.19692
"195",1995-01-09,7.434
"196",1995-01-10,7.41276
"197",1995-01-11,7.2216
"198",1995-01-12,10.81116
"199",1995-01-13,38.232
"200",1995-01-14,32.2848
"201",1995-01-15,21.6648
"202",1995-01-16,16.43976
"203",1995-01-17,13.275
"204",1995-01-18,10.53504
"205",1995-01-19,8.9208
"206",1995-01-20,7.81632
"207",1995-01-21,7.03044
"208",1995-01-22,6.54192
"209",1995-01-23,6.20208
"210",1995-01-24,5.92596
"211",1995-01-25,5.841
"212",1995-01-26,8.45352
"213",1995-01-27,18.24516
"214",1995-01-28,17.86284
"215",1995-01-29,14.37948
"216",1995-01-30,11.97936
"217",1995-01-31,9.79164
"218",1996-01-01,6.20208
"219",1996-01-02,6.17376
"220",1996-01-03,6.0888
"221",1996-01-04,6.17376
"222",1996-01-05,4.69404
"223",1996-01-06,4.69404
"224",1996-01-07,6.17376
"225",1996-01-08,6.0888
"226",1996-01-09,6.20208
"227",1996-01-10,6.17376
"228",1996-01-11,6.0888
"229",1996-01-12,6.0888
"230",1996-01-13,5.97552
"231",1996-01-14,5.91888
"232",1996-01-15,5.9472
"233",1996-01-16,5.9472
"234",1996-01-17,5.91888
"235",1996-01-18,5.89056
"236",1996-01-19,6.03216
"237",1996-01-20,6.20208
"238",1996-01-21,6.17376
"239",1996-01-22,4.69404
"240",1996-01-23,6.17376
"241",1996-01-24,6.14544
"242",1996-01-25,6.11712
"243",1996-01-26,6.11712
"244",1996-01-27,5.91888
"245",1996-01-28,5.89056
"246",1996-01-29,6.03216
"247",1996-01-30,6.00384
"248",1996-01-31,6.03216
"249",1997-01-01,5.32416
"250",1997-01-02,5.2392
"251",1997-01-03,5.21088
"252",1997-01-04,5.40912
"253",1997-01-05,5.72064
"254",1997-01-06,5.55072
"255",1997-01-07,5.43744
"256",1997-01-08,5.46576
"257",1997-01-09,5.3808
"258",1997-01-10,5.35248
"259",1997-01-11,5.3808
"260",1997-01-12,5.46576
"261",1997-01-13,5.7348
"262",1997-01-14,7.73136
"263",1997-01-15,6.96672
"264",1997-01-16,5.43744
"265",1997-01-17,4.86396
"266",1997-01-18,6.14544
"267",1997-01-19,5.91888
"268",1997-01-20,5.89056
"269",1997-01-21,5.8056
"270",1997-01-22,5.72064
"271",1997-01-23,5.72064
"272",1997-01-24,5.69232
"273",1997-01-25,5.49408
"274",1997-01-26,5.67108
"275",1997-01-27,59.0472
"276",1997-01-28,43.1172
"277",1997-01-29,26.1252
"278",1997-01-30,23.1516
"279",1997-01-31,20.05056
"280",1998-01-01,5.39496
"281",1998-01-02,5.37372
"282",1998-01-03,5.50116
"283",1998-01-04,5.60736
"284",1998-01-05,8.0712
"285",1998-01-06,10.70496
"286",1998-01-07,8.43228
"287",1998-01-08,6.66936
"288",1998-01-09,5.9472
"289",1998-01-10,5.7348
"290",1998-01-11,5.71356
"291",1998-01-12,5.86224
"292",1998-01-13,5.67108
"293",1998-01-14,5.45868
"294",1998-01-15,5.31
"295",1998-01-16,5.28876
"296",1998-01-17,5.22504
"297",1998-01-18,5.37372
"298",1998-01-19,5.75604
"299",1998-01-20,6.30828
"300",1998-01-21,6.64812
"301",1998-01-22,6.96672
"302",1998-01-23,6.43572
"303",1998-01-24,5.88348
"304",1998-01-25,5.43744
"305",1998-01-26,5.2038
"306",1998-01-27,5.05512
"307",1998-01-28,5.01264
"308",1998-01-29,4.97016
"309",1998-01-30,4.92768
"310",1998-01-31,4.94892
"311",1999-01-01,5.77728
"312",1999-01-02,5.72064
"313",1999-01-03,5.74896
"314",1999-01-04,5.69232
"315",1999-01-05,5.77728
"316",1999-01-06,5.86224
"317",1999-01-07,5.83392
"318",1999-01-08,5.664
"319",1999-01-09,5.72064
"320",1999-01-10,5.72064
"321",1999-01-11,5.74896
"322",1999-01-12,5.74896
"323",1999-01-13,5.664
"324",1999-01-14,5.63568
"325",1999-01-15,5.664
"326",1999-01-16,5.60736
"327",1999-01-17,5.55072
"328",1999-01-18,5.57904
"329",1999-01-19,5.63568
"330",1999-01-20,5.60736
"331",1999-01-21,5.60736
"332",1999-01-22,5.55072
"333",1999-01-23,5.5224
